Incident Category,Incident Day of Week,Incident Year,Analysis Neighborhood,Longitude,Latitude,Report Type Description
Assault,Thursday,2018,Outer Richmond,-122.4925102,37.78354278,Initial
Assault,Monday,2018,Tenderloin,-122.4171456,37.78144749,Initial
Stolen Property,Monday,2018,Nob Hill,-122.4151853,37.78838793,Initial
Robbery,Friday,2018,Bayview Hunters Point,-122.3909679,37.73401387,Initial
Assault,Friday,2018,Outer Mission,-122.4458351,37.7152978,Initial
Robbery,Friday,2018,Tenderloin,-122.4116999,37.78117722,Initial
Fraud,Saturday,2018,Financial District/South Beach,-122.399975,37.78701079,Coplogic Initial
Robbery,Tuesday,2018,Bayview Hunters Point,-122.3821257,37.72805144,Initial
Assault,Monday,2018,Potrero Hill,-122.3875688,37.76055022,Initial Supplement
Stolen Property,Thursday,2018,North Beach,-122.4148768,37.80354232,Initial Supplement
Assault,Saturday,2018,Bayview Hunters Point,-122.4022017,37.73448154,Initial
Assault,Friday,2018,Mission Bay,-122.3914343,37.77346692,Initial
Stolen Property,Friday,2018,West of Twin Peaks,-122.4744942,37.74123427,Initial
Fraud,Thursday,2018,Chinatown,-122.4096386,37.79847123,Initial
Fraud,Friday,2018,Oceanview/Merced/Ingleside,-122.4509272,37.72081269,Initial
Assault,Friday,2018,Hayes Valley,-122.423535,37.77223581,Initial
Robbery,Monday,2018,South of Market,-122.4096933,37.78175433,Initial Supplement
Assault,Thursday,2018,Visitacion Valley,-122.4187718,37.71073194,Initial
Assault,Saturday,2018,Inner Richmond,-122.4654924,37.78289098,Initial
Stolen Property,Saturday,2018,Treasure Island,-122.3637428,37.82357442,Initial
Assault,Thursday,2018,Outer Mission,-122.427695,37.73355363,Initial
Fraud,Monday,2018,Western Addition,-122.4368846,37.77893775,Initial
Assault,Sunday,2018,South of Market,-122.4089522,37.78328785,Initial
Robbery,Monday,2018,Bayview Hunters Point,-122.3885641,37.72012444,Initial Supplement
Fraud,Tuesday,2018,Nob Hill,-122.4107555,37.79153087,Initial
Assault,Friday,2018,null,-122.4200831,37.70831127,Initial
Assault,Tuesday,2018,Mission,-122.4042418,37.75184493,Initial
Assault,Monday,2018,Japantown,-122.4266668,37.78692467,Initial
Fraud,Sunday,2018,Financial District/South Beach,-122.4084016,37.78829319,Initial
Assault,Thursday,2018,Mission,-122.4073048,37.7631878,Initial
Assault,Thursday,2018,Hayes Valley,-122.434109,37.77354938,Initial
Robbery,Saturday,2018,South of Market,-122.4083801,37.77631839,Initial
Fraud,Monday,2018,Financial District/South Beach,-122.4036718,37.79080542,Initial Supplement
Assault,Thursday,2018,Bayview Hunters Point,-122.3891134,37.73911266,Initial Supplement
Assault,Tuesday,2018,Castro/Upper Market,-122.4271669,37.76297284,Initial
Fraud,Friday,2018,Sunset/Parkside,-122.4792959,37.74850364,Initial
Assault,Wednesday,2018,Western Addition,-122.4306092,37.78164558,Initial Supplement
Assault,Wednesday,2018,Outer Mission,-122.441401,37.71986536,Initial
Assault,Wednesday,2018,Tenderloin,-122.4122207,37.78207307,Initial Supplement
Robbery,Thursday,2018,Tenderloin,-122.4107648,37.78321431,Initial
Fraud,Monday,2018,South of Market,-122.4078712,37.78275065,Initial
Assault,Wednesday,2018,Western Addition,-122.4321404,37.78049626,Initial
Fraud,Saturday,2018,North Beach,-122.4055883,37.79868823,Initial
Robbery,Monday,2018,Marina,-122.4338467,37.79729803,Initial Supplement
Fraud,Sunday,2018,Excelsior,-122.4323234,37.71503822,Initial
Assault,Tuesday,2018,Castro/Upper Market,-122.4359567,37.75922266,Initial
Robbery,Monday,2018,Bernal Heights,-122.4214855,37.74312266,Initial
Assault,Wednesday,2018,Bernal Heights,-122.4087063,37.74835285,Initial
Robbery,Monday,2018,Marina,-122.4314375,37.79760447,Initial Supplement
Assault,Saturday,2018,Bayview Hunters Point,-122.3858345,37.73960902,Initial
Fraud,Thursday,2018,Excelsior,-122.4281158,37.72784593,Initial
Fraud,Monday,2018,Financial District/South Beach,-122.4000661,37.79968141,Initial
Assault,Wednesday,2018,Financial District/South Beach,-122.3983331,37.79709205,Initial
Robbery,Saturday,2018,Hayes Valley,-122.4227876,37.77594986,Initial
Robbery,Wednesday,2018,Financial District/South Beach,-122.400744,37.79117717,Initial
Assault,Thursday,2018,Mission,-122.406699,37.75683373,Initial
Fraud,Tuesday,2018,Tenderloin,-122.4111398,37.7850746,Initial
Assault,Sunday,2018,Bayview Hunters Point,-122.3945321,37.72469314,Initial
Fraud,Monday,2018,Golden Gate Park,-122.4675151,37.76587725,Initial
Robbery,Sunday,2018,Japantown,-122.4248584,37.78619643,Initial
